S01700,REG,2020,1498565880000,None
S01700,ES*,9537,1498566000000,None
S01700,REG,2564,1498566000000,None
S01700,REG,2655,1498566000000,None
S01700,REG,2071,1498566300000,None
S01700,REG,2187,1498566300000,None
S01700,REG,24942,1498566300000,None
S01700,ES*,9637,1498566600000,None
S01700,ES*,9733,1498567500000,None
S01700,IC,597,1498567800000,None
S01700,REG,24944,1498568100000,None
S01700,ES*,9639,1498568400000,None
S01700,REG,2625,1498568700000,None
S01700,EC,159,1498569000000,None
S01700,IC,613,1498569000000,None
S01700,REG,25522,1498569000000,None
S00219,ES*,9737,1498569300000,None
S01700,REG,2022,1498569480000,None
S01700,ES*,9541,1498569600000,None
S01700,REG,2281,1498569600000,None
S01700,EC,20,1498569900000,None
S01700,REG,2073,1498569900000,None
S01700,REG,24946,1498569900000,None
S01700,REG,3967,1498569900000,None
S01700,REG,2150,1498570140000,None
S01700,ES*,9641,1498570200000,None
S01700,ES*,8819,1498570500000,None
S01700,ES*,9809,1498571100000,None
S09218,ES*,9528,1498571400000,None
S02593,ES*,9734,1498571700000,None
S01700,REG,24948,1498571700000,None
S01700,ES*,9643,1498572000000,None
S01700,IC,673,1498572300000,None
S01700,REG,2627,1498572300000,None
S01700,REG,25524,1498572600000,None
S00219,ES*,9545,1498572900000,None
S00219,ES*,9743,1498572900000,None
S01440,REG,2565,None,1498563600000
S02593,ES*,9728,None,1498565700000
S09218,ES*,9624,None,1498566540000
S01003,REG,2149,None,1498566660000
S01301,EC,17,None,1498566900000
S00470,REG,3987,None,1498566900000
S01146,REG,24941,None,1498566900000
S02430,REG,2068,None,1498566900000
S11465,ES*,9522,None,1498567200000
S01440,REG,2567,None,1498567200000
S02336,REG,2656,None,1498567200000
S05043,REG,2280,None,1498567500000
S00219,REG,2017,None,1498567560000
S04501,IC,745,None,1498567800000
S01307,REG,25523,None,1498567800000
S01529,REG,2624,None,1498567800000
S08409,ES*,9626,None,1498568100000
S00219,ES*,9737,None,1498568700000
S01146,REG,24943,None,1498568700000
S02593,ES*,9732,None,1498569300000
S11145,ES*,8814,None,1498569900000
S08409,ES*,9628,None,1498570140000
S01146,REG,24945,None,1498570500000
S02430,REG,2070,None,1498570500000
S04702,REG,2186,None,1498570500000
S09218,ES*,9528,None,1498570800000
S01440,REG,2569,None,1498570800000
S02593,ES*,9734,None,1498571100000
S00219,REG,2019,None,1498571160000
S06725,IC,670,None,1498571400000
S01529,REG,2626,None,1498571400000
S08409,ES*,9630,None,1498571940000
S00219,ES*,9545,None,1498572000000
S00219,ES*,9743,None,1498572300000
S01146,REG,24947,None,1498572300000
S01700,REG,2655,1498566420000,None
S00470,REG,3987,1498566480000,None
S02430,REG,2068,1498566480000,None
S01700,REG,2187,1498566720000,None
S01700,REG,2071,1498566780000,None
S02336,REG,2656,1498566840000,None
S01318,REG,24137,1498566900000,None
S05043,REG,2280,1498567140000,None
S01529,REG,2624,1498567380000,None
S01326,REG,20415,1498567620000,None
S01326,REG,10579,1498567980000,None
S01059,REG,24138,1498568160000,None
S01717,REG,10916,1498568520000,None
S01933,REG,24139,1498568700000,None
S01945,REG,10586,1498568880000,None
S01700,REG,2625,1498569180000,None
S05000,REG,20424,1498569240000,None
S01059,REG,24140,1498569960000,None
S01700,REG,2281,1498570020000,None
S02430,REG,2070,1498570080000,None
S04702,REG,2186,1498570080000,None
S01700,REG,3967,1498570320000,None
S01700,REG,2073,1498570380000,None
S01933,REG,24141,1498570500000,None
S01529,REG,2626,1498570980000,None
S01326,REG,20417,1498571220000,None
S01326,REG,10581,1498571580000,None
S01059,REG,24142,1498571760000,None
S01325,REG,10913,1498572000000,None
S01717,REG,10918,1498572120000,None
S01933,REG,24143,1498572300000,None
S01945,REG,10588,1498572480000,None
S01700,REG,2627,1498572780000,None
S05000,REG,20426,1498572840000,None
S01700,REG,2655,None,1498566360000
S02430,REG,2068,None,1498566360000
S00470,REG,3987,None,1498566420000
S01700,REG,2071,None,1498566660000
S01700,REG,2187,None,1498566660000
S02336,REG,2656,None,1498566780000
S01318,REG,24137,None,1498566840000
S05043,REG,2280,None,1498567080000
S01529,REG,2624,None,1498567260000
S01326,REG,20415,None,1498567560000
S01326,REG,10579,None,1498567920000
S01059,REG,24138,None,1498568100000
S01717,REG,10916,None,1498568400000
S01933,REG,24139,None,1498568640000
S01945,REG,10586,None,1498568820000
S01700,REG,2625,None,1498569060000
S05000,REG,20424,None,1498569180000
S01059,REG,24140,None,1498569900000
S01700,REG,2281,None,1498569960000
S02430,REG,2070,None,1498569960000
S04702,REG,2186,None,1498570020000
S01700,REG,2073,None,1498570260000
S01700,REG,3967,None,1498570260000
S01933,REG,24141,None,1498570440000
S01529,REG,2626,None,1498570860000
S01326,REG,20417,None,1498571160000
S01326,REG,10581,None,1498571520000
S01059,REG,24142,None,1498571700000
S01325,REG,10913,None,1498571880000
S01717,REG,10918,None,1498572000000
S01933,REG,24143,None,1498572240000
S01945,REG,10588,None,1498572420000
S01700,REG,2627,None,1498572660000
S05000,REG,20426,None,1498572780000
S00219,ES*,9569,1498565880000,None
S01645,REG,10856,1498566120000,None
S01146,REG,24941,1498566360000,None
S01645,REG,10773,1498566660000,None
S01645,REG,5318,1498566720000,None
S01700,REG,24942,1498566900000,None
S01645,REG,25052,1498567140000,None
S01645,REG,25052,1498567140000,None
S11781,IC,35494,1498567440000,None
S01645,REG,10416,1498567740000,None
S01645,REG,10858,1498567920000,None
S01301,REG,25251,1498567980000,None
S01146,REG,24943,1498568160000,None
S01700,REG,24944,1498568700000,None
S01037,REG,25253,1498568940000,None
S01645,REG,5145,1498569240000,None
S00219,ES*,9573,1498569480000,None
S01645,REG,10860,1498569720000,None
S01146,REG,24945,1498569960000,None
S01645,REG,10775,1498570260000,None
S01645,REG,5320,1498570320000,None
S01700,REG,24946,1498570500000,None
S01645,REG,25056,1498570740000,None
S00219,IC,35169,1498571040000,None
S01645,REG,10418,1498571340000,None
S01645,REG,10862,1498571520000,None
S01301,REG,25255,1498571580000,None
S01146,REG,24947,1498571760000,None
S01645,REG,10777,1498572060000,None
S01700,REG,24948,1498572300000,None
S01037,REG,25257,1498572540000,None
S01645,REG,5147,1498572840000,None
S00219,ES*,9569,None,1498565700000
S01301,REG,25049,None,1498566060000
S01146,REG,24941,None,1498566300000
S01205,REG,5319,None,1498566480000
S01529,REG,10778,None,1498566540000
S01700,REG,24942,None,1498566840000
S01520,REG,10855,None,1498567080000
S11781,IC,35494,None,1498567320000
S01520,REG,5146,None,1498567560000
S01301,REG,25251,None,1498567860000
S01146,REG,24943,None,1498568100000
S01529,REG,10780,None,1498568340000
S01700,REG,24944,None,1498568640000
S01037,REG,25253,None,1498568820000
S01520,REG,10857,None,1498568880000
S01020,REG,10419,None,1498569060000
S00219,ES*,9573,None,1498569300000
S01301,REG,25053,None,1498569660000
S01146,REG,24945,None,1498569900000
S01529,REG,10782,None,1498570140000
S01700,REG,24946,None,1498570440000
S01520,REG,10859,None,1498570680000
S00219,IC,35169,None,1498570920000
S01520,REG,5148,None,1498571160000
S01301,REG,25255,None,1498571460000
S01146,REG,24947,None,1498571700000
S01700,REG,24948,None,1498572240000
S01037,REG,25257,None,1498572420000
S01520,REG,10861,None,1498572480000
S01003,REG,10421,None,1498572660000
