236 - VENEZIA S. LUCIA|236-S02593
236 - NOVARA NORD|236-N00055
237 - TARVISIO BOSCOVERDE|237-S03015
240 - NOVARA NORD|240-N00055
241 - MILANO NORD CADORNA|241-N00001
244 - NOVARA NORD|244-N00055
245 - MILANO NORD CADORNA|245-N00001
246 - NOVARA NORD|246-N00055
248 - ROVATO BORGO|248-N00236
249 - MILANO NORD CADORNA|249-N00001
250 - NOVARA NORD|250-N00055
254 - NOVARA NORD|254-N00055
255 - MILANO NORD CADORNA|255-N00001
259 - MILANO NORD CADORNA|259-N00001
260 - NOVARA NORD|260-N00055
265 - MILANO NORD CADORNA|265-N00001
266 - NOVARA NORD|266-N00055
267 - ISEO|267-N00210
268 - ROVATO BORGO|268-N00236
270 - NOVARA NORD|270-N00055
271 - BORNATO - CALINO|271-N00207
272 - ROVATO BORGO|272-N00236
273 - MILANO NORD CADORNA|273-N00001
276 - NOVARA NORD|276-N00055
277 - BORNATO - CALINO|277-N00207
278 - ROVATO BORGO|278-N00236
279 - MILANO NORD CADORNA|279-N00001
280 - NOVARA NORD|280-N00055
283 - MILANO NORD CADORNA|283-N00001
284 - NOVARA NORD|284-N00055
294 - RONCHI DEI LEGIONARI NORD|294-S08409
294 - PADOVA|294-S08409
294 - ROMA TERMINI|294-S08409
295 - TARVISIO BOSCOVERDE|295-S03015
295 - RONCHI DEI LEGIONARI NORD|295-S03015
295 - PADOVA|295-S03015
303 - MILANO NORD CADORNA|303-N00001
304 - MALPENSA AEROPORTO T2|304-N00265
305 - MILANO NORD CADORNA|305-N00001
307 - MILANO NORD CADORNA|307-N00001
309 - MILANO NORD CADORNA|309-N00001
310 - MALPENSA AEROPORTO T2|310-N00265
311 - MILANO NORD CADORNA|311-N00001
312 - MALPENSA AEROPORTO T2|312-N00265
313 - MILANO NORD CADORNA|313-N00001
314 - MALPENSA AEROPORTO T2|314-N00265
315 - MILANO NORD CADORNA|315-N00001
316 - MALPENSA AEROPORTO T2|316-N00265
318 - MALPENSA AEROPORTO T2|318-N00265
319 - MILANO NORD CADORNA|319-N00001
321 - MILANO NORD CADORNA|321-N00001
324 - MALPENSA AEROPORTO T2|324-N00265
325 - MILANO NORD CADORNA|325-N00001
326 - MALPENSA AEROPORTO T2|326-N00265
327 - MILANO NORD CADORNA|327-N00001
328 - MALPENSA AEROPORTO T2|328-N00265
329 - MILANO NORD CADORNA|329-N00001
330 - MALPENSA AEROPORTO T2|330-N00265
331 - MILANO NORD CADORNA|331-N00001
332 - MALPENSA AEROPORTO T2|332-N00265
333 - MILANO NORD CADORNA|333-N00001
334 - MALPENSA AEROPORTO T2|334-N00265
335 - MILANO NORD CADORNA|335-N00001
336 - MALPENSA AEROPORTO T2|336-N00265
337 - MILANO NORD CADORNA|337-N00001
338 - MALPENSA AEROPORTO T2|338-N00265
